공공서비스 고유 식별자,서비스명,남성,여성,대상연령(시작),대상연령(종료),중위소득 0~50%,중위소득 51~75%,중위소득 76~100%,중위소득 101~200%,중위소득 200% 초과,예비부모/난임,임산부,출산/입양,농업인,어업인,축산업인,임업인,초등학생,중학생,고등학생,대학생/대학원생,해당사항없음,근로자/직장인,구직자/실업자,장애인,국가보훈대상자,질병/질환자,다문화가족,북한이탈주민,한부모가정/조손가정,1인가구,해당사항없음.1,다자녀가구,무주택세대,신규전입,확대가족,예비창업자,영업중,생계곤란/폐업예정자,음식적업,제조업,기타업종,중소기업,사회복지시설,기관/단체,제조업.1,"농업,임업 및 어업",정보통신업,기타업종.1
000000465790,유아학비 (누리과정) 지원,Y,Y,3.0,5.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
105100000001,근로·자녀장려금,Y,Y,18.0,65.0,Y,Y,Y,Y,Y,,,,,,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
116010000001,주택금융공사 월세 자금보증,Y,Y,19.0,35.0,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,
119200000001,친환경 에너지절감장비 보급,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000007,해양사고 국선 심판변론인 선정 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,
119200000008,옵서버 승선경비 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
119200000010,합작수산물 관세 감면 추진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y
119200000012,귀어 창업 및 주택구입 지원(융자),Y,Y,18.0,65.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000016,원양어업 경영자금 지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,Y,,Y,,
119200000022,원양어선안전관리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
119200000024,수산장비 구입 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Y,,Y,Y,,,
119200000027,산지 및 소비지 유통자금 융자 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y
119200000044,수산경영인회생자금,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,
119200000045,어업경영자금 지원,Y,Y,19.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,
119200000053,TAC 참여어업인 경영개선자금 지원,Y,Y,18.0,120.0,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,
119200000055,연안선박 현대화 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y
